IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.0,2.8907535,0.37422863,659,112930,0.008810087,182.1245,1,844.4906561374664
0.46562502,2.8601162,0.24281645,675,165205,0.2818732,282.81302,2,844.990138053894
0.425,2.7821922,0.04920111,675,165205,0.04360506,270.38812,4,846.1040372848511
0.425,2.3048096,0.04519168,675,165205,0.009541801,91.201805,8,847.6068875789642
0.38750002,2.054856,0.030162532,677,176476,0.01480672,223.98474,10,848.7611615657806
0.4,2.0183423,0.015194691,678,182107,0.018523687,288.38953,12,849.9241173267365
0.409375,1.8853447,0.016778251,679,187742,0.0061982726,256.13745,15,851.097870349884
0.4625,1.5197014,0.009752567,681,199004,0.009288168,100.89241,18,852.4030921459198
0.459375,1.6330944,0.011695665,681,199004,0.0056625465,126.72678,20,853.4443717002869
0.43437502,1.7237428,0.0121703595,682,204621,0.0051674657,148.97789,21,855.0910952091217
0.4375,1.6297137,0.008876207,683,205119,0.0055917865,58.76616,24,856.6243932247162
0.428125,1.6219319,0.008981119,684,205156,0.004265069,112.47869,27,858.1353912353516
0.459375,1.4689355,0.007816748,684,205156,0.00345491,266.83603,30,859.6621985435486
0.40312502,1.5997065,0.007619299,686,211079,0.0030293814,189.6231,33,861.0811321735382
0.40625,1.6867748,0.007837092,687,211362,0.0027483872,175.02852,35,862.2747769355774
0.396875,1.6131,0.0064226463,688,211421,0.003160252,179.24667,39,863.4783999919891
0.4125,1.4895579,0.0061589116,688,211421,0.0035181874,307.45923,41,864.9477779865265
0.38750002,1.6743681,0.0057488303,689,211478,0.0025913757,239.7628,43,866.0528280735016
0.46875,1.3814965,0.0045789597,689,211478,0.002260655,154.21024,47,867.3736867904663
0.409375,1.4739172,0.004625657,689,211478,0.0037018815,226.15134,48,868.6882357597351
0.4,1.524297,0.004160552,689,211478,0.0028906623,271.97867,50,869.9058501720428
0.49375,1.2793493,0.0033761412,690,217119,0.0031024362,93.42975,53,871.5804464817047
0.453125,1.4138491,0.0031506189,690,217119,0.0030597297,68.226265,55,872.8251883983612
0.384375,1.4222332,0.0030002312,690,217119,0.0030788593,60.38423,58,874.3053140640259
0.421875,1.4293625,0.0025697153,690,217119,0.0033694739,75.630196,61,875.6091756820679
0.521875,1.212224,0.001935459,690,217119,0.0025736853,62.037773,64,877.2984735965729
0.553125,1.1954578,0.0017172063,693,218306,0.0020425832,210.43846,67,878.6324121952057
0.6875,1.009968,0.001761102,693,218306,0.0020098875,88.16857,70,880.3780496120453
0.678125,1.2113608,0.0017750598,693,218306,0.0022642342,121.42803,73,881.3750491142273
0.6375,1.0127554,0.001484249,693,218306,0.0014314521,96.73456,76,882.7173991203308
0.69687504,0.97570413,0.0014105514,693,218306,0.0015274034,156.40912,78,884.2513303756714
0.70625,0.9924534,0.001454696,694,218349,0.0016582983,112.86527,80,885.5601713657379
0.63437504,1.1080897,0.0014074582,695,224017,0.001884696,56.72396,81,886.5880081653595
0.6125,1.2255895,0.0013439907,695,224017,0.0014111472,81.43149,83,887.995183467865
0.65000004,0.97862685,0.0012053112,696,224323,0.0012555523,23.65244,85,889.1706080436707
0.615625,1.0770544,0.0011587029,697,224418,0.0034252245,121.26671,88,890.7526829242706
0.715625,0.8430447,0.0010702116,697,224418,0.00030698985,12.815138,91,891.812530040741
0.76875,0.7835545,0.0010005874,698,230106,0.0015204034,43.222015,93,893.2722618579865
0.65625,1.073504,0.0011903342,699,230167,0.0025824457,41.624092,95,894.4476647377014
0.734375,0.83691734,0.0010735583,701,233787,0.0014113246,173.34477,97,895.6044478416443
0.675,1.0538732,0.0010022275,701,233787,0.0014978942,72.87824,100,896.8284168243408
0.66562504,0.9981112,0.0011059507,701,233787,0.00031595252,23.15398,103,897.9535059928894
0.71250004,0.9563109,0.00078462873,703,239471,0.000515945,9.340319,105,898.9975936412811
0.70625,0.8581772,0.00074264786,703,239471,0.0019541215,78.3797,108,900.3315603733063
0.659375,0.9895364,0.0009359207,706,245221,0.0012396912,93.68771,110,902.4627048969269
0.734375,1.0174772,0.000874481,707,245295,0.0015074755,221.70055,112,904.1110112667084
0.646875,1.1839226,0.0010089797,708,245347,0.0026857276,68.99728,113,905.5177130699158
0.69375,0.8318917,0.000791044,710,251121,0.0012081151,29.345888,116,906.9727599620819
0.66875,0.9797102,0.00082054496,711,256776,0.0013284064,114.69206,118,908.3185772895813
0.725,0.7559735,0.00080044306,712,256837,0.0010497407,35.96858,119,909.3872945308685
0.63125,1.1062146,0.000929486,712,256837,0.00031641516,19.779808,121,910.552271604538
0.653125,1.135444,0.00088497123,713,257020,0.0008876487,51.87088,122,911.5815432071686
0.721875,0.8457174,0.0007908942,714,257100,0.00020621221,9.882488,124,913.0210843086243
0.64375,1.1744653,0.0008082536,716,257166,0.00050051964,50.824245,126,914.0550360679626
0.71250004,0.9380196,0.0008372003,716,257166,0.0012323817,178.61794,129,915.4891040325165
0.71250004,0.9284512,0.00066919456,718,262861,0.0002822149,14.713747,132,916.5831656455994
0.63125,1.2789681,0.0007734159,719,263166,0.0005788723,20.892788,135,918.116705417633
0.7,1.013181,0.00085110683,719,263166,0.00019941396,13.383198,138,919.1460516452789
0.684375,1.0122589,0.0007998203,720,263198,0.00043688004,30.227201,141,920.2559900283813
0.703125,0.9592784,0.00070960773,721,263230,0.001492417,114.68824,145,921.4520461559296
0.73125,0.79602575,0.00063553243,723,263832,0.00046964514,73.59172,147,922.7375938892365
0.703125,0.90962327,0.0006236393,723,263832,0.0007920052,88.82211,150,923.8850815296173
0.615625,1.2391707,0.0007158679,724,263906,0.00021198615,15.6861725,153,924.8876528739929
0.75937504,0.7068672,0.0005182132,725,263938,0.00043205835,26.125547,157,926.1546137332916
0.725,0.8485141,0.0006379802,725,263938,0.0003141908,34.563553,161,927.4615046977997
0.72812504,0.8221704,0.0005441229,725,263938,0.0004489752,17.704851,163,928.9017374515533
0.715625,0.9206752,0.0005779689,725,263938,0.00071373186,336.45056,165,929.9432530403137
0.7,1.077443,0.00054497225,725,263938,0.0002878112,18.33204,168,931.1319515705109
0.671875,0.9963574,0.0006547048,725,263938,0.0003803432,22.235657,170,932.2263112068176
