Mean Distillation Alpha,action_mean_time,actor_episodes,actor_steps,env_step_mean_time,episode_length,episode_return,evaluator_episodes,evaluator_steps,intrinsic_rewards_mean,intrinsic_rewards_sum,is_eval,learner_steps,learner_time_elapsed,mixture_idx,observe_mean_time,steps_per_second
1.0002419393509627,0.043245042186261455,147684,56497783,0.48838051099219343,3200,400.0,1491,914450,10.069678604872813,32233.041214197874,0,41856,20185.131486415863,0,0.021634394182179335,1.7977008576941154
1.0006200692994505,0.049440084366824906,147971,56602972,0.5080320327417785,2707,400.0,1492,917157,10.827037533153636,29319.617639780045,0,41905,21051.020009040833,1,0.024673056088278078,1.7057202368881443
1.0087117553816902,0.042535122883711196,148539,57078519,0.4963076537896334,6750,400.0,1493,923907,14.9391175589108,100853.98264020681,0,42336,21257.103484153748,2,0.020276679236730193,1.7838970564148473
1.0443553519914703,0.04341588040659961,148631,57138115,0.49428196994765716,1146,400.0,1494,925053,15.381838608666307,17642.968884140253,0,42386,21282.15156531334,3,0.02043490574259876,1.7853468834914095
1.2598689020783813,0.04104146095526007,149179,57528648,0.4928796950944487,6480,400.0,1495,931533,21.58878107259734,139916.89013150334,0,42683,21436.821736335754,4,0.020297733927168056,1.7987364883752637
1.1642568922590935,0.04152624387428506,149303,57631344,0.504049049763241,1305,400.0,1496,932838,19.378012808573192,25307.684727996588,0,42745,21466.021646022797,5,0.019408574839812776,1.7644496461898487
1.3719320487998716,0.04074951799142105,149501,57759296,0.4806812459335531,2106,400.0,1497,934944,24.33939399646253,51283.10315054655,0,42840,21510.339881896973,6,0.021541325738321803,1.8360059844388155
1.1940978394024702,0.04535222227514024,149550,57791870,0.5181468409093375,629,400.0,1498,935573,21.340131676386275,13444.282956123352,0,42870,21522.96355986595,7,0.020519750352948164,1.705588684760697
1.4104908820369113,0.04287675323743886,149791,57956244,0.5061610659186992,2485,400.0,1499,938058,21.7012999932179,53949.431783139706,0,42988,21579.228544712067,8,0.021499489261967274,1.7468190182741663
1.1911339451812692,0.04044106014091164,150187,58198568,0.49203388476897864,4385,400.0,1500,942443,16.155550080710388,70858.24265399575,0,43185,21673.08303642273,9,0.020605532008902812,1.8026031551653479
1.5408283277568753,0.04188924025970134,150367,58338836,0.5023300655299765,1802,400.0,1501,944245,25.680498220691796,46301.93829190731,0,43271,21714.215171575546,10,0.02071558472918098,1.7628625104028097
1.254869865876657,0.04013809761645152,150991,58737145,0.4944407855918517,6750,0.0,1502,950995,15.892137821635181,107287.82243385911,0,43580,21861.676746606827,11,0.02015109853021298,1.797635875282569
1.5128593825448113,0.041752426965620204,151087,58785141,0.5094030876518966,902,100.0,1503,951897,27.470563886305555,24805.919189333916,0,43622,21881.198501348495,12,0.019838117791427745,1.7450566733053299
2.004221912739532,0.04264166372995045,151139,58833995,0.5269770682433546,448,0.0,1504,952345,36.245638605348255,16274.291733801365,0,43644,21890.518991947174,13,0.019693746325815806,1.6876911593538773
1.6327361004450316,0.04348159064531514,151196,58868281,0.5390081739090885,561,100.0,1505,952906,30.369458841418457,17067.635868877172,0,43672,21901.88930606842,14,0.019573034657785718,1.6512764946529976
1.560438293159206,0.04154479182405315,151230,58885477,0.49786894611969673,301,0.0,1506,953207,31.864555366189276,9623.095720589161,0,43684,21907.104716539383,15,0.020096192691192623,1.7782586789090922
1.17124497084226,0.04462434132847413,151257,58897039,0.5078430431254709,207,0.0,1507,953414,21.97496743213672,4570.793225884438,0,43696,21911.14066886902,16,0.023358770908229954,1.7290568604944598
1.4561698032713024,0.03950965853068543,151314,58931209,0.469938191713324,537,0.0,1508,953951,24.46620516130029,13162.818376779556,0,43714,21919.438653707504,17,0.018677374862076573,1.8859092219588578
1.323688529228252,0.040032689088771715,151376,58960848,0.4788208034166028,732,400.0,1509,954683,23.381856412549297,17138.900750398636,0,43750,21934.72377705574,18,0.01909170369266765,1.8486922940656292
1.28290100219763,0.04170363340022555,151489,59035265,0.5162619212890402,1152,0.0,1510,955835,21.22291673449775,24470.022994875908,0,43806,21958.68837738037,19,0.018889673658789106,1.7274986698038293
1.129593309127923,0.03547203944450449,151513,59046399,0.49544204406056175,198,0.0,1511,956033,19.181985311771758,3817.2150770425797,0,43817,21963.349559545517,20,0.020857147838420003,1.7979766571038962
1.2971151063853765,0.042581257944367464,151583,59100198,0.5182577395020684,701,0.0,1512,956734,21.4092492270164,15029.292957365513,0,43848,21981.69029045105,21,0.01982615989303857,1.7158740101502041
1.3284918995900343,0.03808659524019672,151619,59118070,0.49818963835874497,354,0.0,1513,957088,25.183198412791103,8940.035436540842,0,43867,21991.55123615265,22,0.017088281680825875,1.7977622436878307
1.4066027891759887,0.041785874606226396,151688,59153519,0.5175092454443415,673,0.0,1514,957761,23.615817001824563,15917.060659229755,0,43897,22003.187159776688,23,0.02129186747694288,1.715890426543331
1.3864997602009272,0.04099338612029935,151758,59191380,0.4995393870336582,715,0.0,1515,958476,22.13635421764917,15849.629619836807,0,43930,22016.765179157257,24,0.02063202343365097,1.7752449541756772
1.3164106981451589,0.03977192862656685,151867,59275989,0.5041609717104635,953,0.0,1516,959429,21.487129031799626,20498.72109633684,0,43975,22035.64122724533,25,0.019241357458603166,1.76876322167277
1.2309616125082667,0.04538782643559691,151925,59302587,0.5218762497367618,395,0.0,1517,959824,23.321206727563734,9235.197864115238,0,43992,22042.98314023018,26,0.022057674589938604,1.688456230209094
1.4119909188239093,0.0411178164165816,152066,59371862,0.5243091208645543,1121,0.0,1518,960945,23.86886228087114,26780.86347913742,0,44047,22068.225663661957,27,0.017049064059746287,1.7118565354702737
